contract,family,freeze_time,max_raw_activity,mean_active_tpo,mean_active_volume,median_raw_activity,positive_tpo_ticks,positive_volume_ticks,profile_id,session_date,source_date,year
NQH9,midnight,2019-02-15T09:30:00-05:00,4.067891149273310336037090136311180098791,9.258333333333333333333333333,178.4624999999999999999999992,0.615962502936327409001683309,480,480,18a9b7cc5bb16641d03a,2019-02-15,2019-02-15,2019
NQM9,prior_rth,2019-05-23T16:00:00-04:00,1.96795630419895261202302188741999767299,28.76602564102564102564102564,1549.884615384615384615384614,1.014507067765060404475229736,312,312,18f53b6e1f44a33b44b6,2019-05-24,2019-05-23,2019
NQM9,opening_hour_rth,2019-03-13T10:30:00-04:00,2.251695583025595962369098255973011091166,9.844660194174757281553398058,737.3203883495145631067961165,0.9207569443922530289880824195232927640915,103,103,19041a32693d8d1ed503,2019-03-13,2019-03-13,2019
NQZ9,opening_hour_rth,2019-10-10T10:30:00-04:00,3.298283707522295881148151544878908546024,5.575862068965517241379310345,333.0241379310344827586206893,0.6509785112728407094260284285,290,290,19145395c30efb6e32e3,2019-10-10,2019-10-10,2019
NQH0,prior_rth,2019-12-20T16:00:00-05:00,2.831912839216999271088552922839355532422,23.32258064516129032258064516,1696.379032258064516129032256,1.001243256884001580078369287,124,124,191738c8bfb395f8f072,2019-12-23,2019-12-20,2019
NQM9,opening_hour_rth,2019-06-13T10:30:00-04:00,2.17577166414245744069137149005383354128,8.922077922077922077922077922,519.5714285714285714285714284,0.822467893704330582191301964,154,154,19af9dedca96d26a5349,2019-06-13,2019-06-13,2019
NQZ9,full_overnight,2019-09-20T09:30:00-04:00,2.952169361355697911787428393847050253244,33.00641025641025641025641026,443.5897435897435897435897435,0.763849488524840186004923753,156,156,1b35cf6d8976c375adfa,2019-09-20,2019-09-20,2019
NQM9,midnight,2019-03-26T09:30:00-04:00,2.094457307679029757463546067683962546824,20.69607843137254901960784314,345.0686274509803921568627448,0.9825099173023225611300912705,204,204,1b5a46009f49e2e55c48,2019-03-26,2019-03-26,2019
NQM9,prior_rth,2019-06-05T16:00:00-04:00,3.031613621422525584169976744474274772882,21.23433242506811989100817439,1068.997275204359673024523156,0.6885836176047388840779743247361810862505,367,367,1b6392e6811dff8ca4da,2019-06-06,2019-06-05,2019
NQZ9,prior_rth,2019-10-28T16:00:00-04:00,2.917220918456685211362176030124930399662,18.29439252336448598130841121,1056.757009345794392523364489,0.9325298494071592648058847235,214,214,1bb7df64733555a5191a,2019-10-29,2019-10-28,2019
NQH0,opening_hour_rth,2019-12-19T10:30:00-05:00,3.431485362670342005200616988554760560905,8.433734939759036144578313253,633.0120481927710843373493982,0.4387040225241410721354027744282987828933,83,83,1bc36142442f9110c1c5,2019-12-19,2019-12-19,2019
NQM9,full_overnight,2019-05-06T09:30:00-04:00,3.705411627766162031877074706315901569999,24.2245614035087719298245614,340.8035087719298245614035104,0.4077824044635625664218851484,570,570,1ceac1b7b653050c7565,2019-05-06,2019-05-06,2019
NQM9,midnight,2019-05-14T09:30:00-04:00,2.472683137988309406311425993357388275357,25.61574074074074074074074074,425.8425925925925925925925928,0.9491006878707747298872020455,216,216,1d0ab723407714b5c389,2019-05-14,2019-05-14,2019
NQH9,prior_rth,2019-01-03T16:00:00-05:00,2.101882597692704367639825282198937881657,22.07223113964686998394863563,885.597110754414125200642057,1.084488936707933633805920587886340212772,623,623,1d0be41b38247483193b,2019-01-04,2019-01-03,2019
NQZ9,midnight,2019-12-04T09:30:00-05:00,4.277867409782030446397870197729894946686,14.25066666666666666666666667,320.6773333333333333333333349,0.671153393935674561036035554414381047602,375,375,1d54525980364276953c,2019-12-04,2019-12-04,2019
NQZ9,full_overnight,2019-11-26T09:30:00-05:00,4.199841786368718714477799856916264132821,21.9103139013452914798206278,336.1300448430493273542600897,0.5270705252941939726345249871806521913613,223,223,1d6cc712855c379c266c,2019-11-26,2019-11-26,2019
NQH9,midnight,2019-02-26T09:30:00-05:00,2.208832475823684486560892364820883073382,28.85840707964601769911504425,399.8938053097345132743362831,0.9618645102402428233654398577634840227986,113,113,1dabeeafa522a326ee67,2019-02-26,2019-02-26,2019
NQZ9,prior_rth,2019-10-03T16:00:00-04:00,3.244939652339506882542681063165646815344,13.05131761442441054091539528,634.0665742024965325936199743,0.8628888205007260241409786480270050503795,721,721,1e30b43e8d8d6ddfec4d,2019-10-04,2019-10-03,2019
NQH9,prior_rth,2019-03-06T16:00:00-05:00,2.960771390874559680893160087969301424113,24.91803278688524590163934426,1533.10245901639344262295082,0.730699470690728524658161397,244,244,1e887f5e5744c80e7361,2019-03-07,2019-03-06,2019
NQZ9,midnight,2019-10-23T09:30:00-04:00,2.328236388912796691666110100935315012069,26.8627450980392156862745098,449.8954248366013071895424839,0.879511984747617584677544928224752459302,153,153,1e92fb302a00e21a9eb8,2019-10-23,2019-10-23,2019
NQZ9,full_overnight,2019-12-09T09:30:00-05:00,4.353301689372741356356931934639012368959,27.96376811594202898550724638,420.8913043478260869565217393,0.3320985164818221520495332598,138,138,1ea80a5a367faa645be2,2019-12-09,2019-12-09,2019
NQU9,midnight,2019-06-19T09:30:00-04:00,3.231799476795730915089829546300304421511,33.34444444444444444444444444,405.977777777777777777777778,0.8035204750397866431713616405,90,90,1eb24d573f0189ed7287,2019-06-19,2019-06-19,2019
NQM9,full_overnight,2019-06-03T09:30:00-04:00,2.55148289138001798493348830005233459362,40.2660098522167487684729064,638.3990147783251231527093567,0.6943056596141643592811974703661295098354,203,203,1ee2225cfd5b7a2fa134,2019-06-03,2019-06-03,2019
