bin_ratio,contiguous,contract,family,poc_inside,profile_id,relationship_id,session_date,volume_POC,volume_VAH,volume_VAL,volume_value_area_bin_count,volume_value_area_volume_share,year
0.1,true,NQZ9,midnight,true,d256163a4530874aaa74,R04,2019-11-08,8215.875,8223.5,8210.25,53,0.7067519729589613970216014577,2019
0.2,true,NQU9,midnight,true,d2afeece1da423cfaed7,R04,2019-09-05,7809.375,7819.75,7796.5,93,0.7032003765161301107210079047,2019
0.2,true,NQH9,opening_hour_rth,true,d2c31a9c0bb6c0512b50,R05,2019-01-30,6723.75,6730.5,6707.5,46,0.7074355879539122987644992494,2019
0.05,true,NQH9,prior_rth,true,d2df03c16381aa57308c,R01,2019-02-21,7065.625,7092,7053.25,155,0.7011987815182186952293042295,2019
0.05,true,NQH9,prior_rth,true,d2df03c16381aa57308c,R02,2019-02-21,7065.625,7092,7053.25,155,0.7011987815182186952293042295,2019
0.1,true,NQH0,midnight,true,d2dfba2356df3e37359b,R04,2019-12-19,8619.625,8622.25,8614,33,0.7097395347435745142120141367,2019
0.05,true,NQM9,prior_rth,true,d30d2793616b371e229a,R01,2019-05-02,7839.625,7854.75,7819,143,0.7002058314490871316056958909,2019
0.05,true,NQM9,prior_rth,true,d30d2793616b371e229a,R02,2019-05-02,7839.625,7854.75,7819,143,0.7002058314490871316056958909,2019
0.1,true,NQH9,midnight,true,d3421b02ba318d55717a,R04,2019-01-23,6678.375,6692,6663.5,114,0.7088279580776905799409578348,2019
0.05,true,NQZ9,full_overnight,true,d37660cb1588083fdd05,R03,2019-09-25,7708.875,7747.25,7703.5,175,0.7017444443975556776195136034,2019
0.2,true,NQU9,full_overnight,true,d3891a39cde6db155bd6,R03,2019-06-20,7797.125,7820,7757.75,249,0.7016946432133972470976147788,2019
0.05,true,NQZ9,prior_rth,true,d38ece9406c09f8049de,R01,2019-11-05,8212.875,8221.5,8207,58,0.7130356114346384952117414984,2019
0.05,true,NQZ9,prior_rth,true,d38ece9406c09f8049de,R02,2019-11-05,8212.875,8221.5,8207,58,0.7130356114346384952117414984,2019
0.1,true,NQH9,midnight,true,d39179b91785ee6766eb,R04,2019-02-08,6851.125,6869.25,6843,105,0.7033298428022695417497699413,2019
0.1,true,NQU9,prior_rth,true,d3d09f8114617feb67ea,R01,2019-08-12,7666.125,7693.5,7630.5,252,0.7008303720379113364579024172,2019
0.1,true,NQU9,prior_rth,true,d3d09f8114617feb67ea,R02,2019-08-12,7666.125,7693.5,7630.5,252,0.7008303720379113364579024172,2019
0.05,true,NQZ9,midnight,true,d4199a171946563bbad2,R04,2019-10-14,7841.125,7859.25,7819,161,0.7007051487884253763443190403,2019
0.2,true,NQM9,midnight,true,d432a4a3fb4f3226293e,R04,2019-06-10,7444.125,7462.25,7437.25,100,0.7076561420249872417393918376,2019
0.1,true,NQH9,midnight,true,d4378ca34008fccda4b0,R04,2019-02-26,7097.875,7105.25,7092.25,52,0.705147182099027721759420441,2019
0.2,true,NQM9,prior_rth,true,d44eeb54485de360bc95,R01,2019-04-04,7566.625,7594.25,7546,193,0.7020279620246201952117532246,2019
0.2,true,NQM9,prior_rth,true,d44eeb54485de360bc95,R02,2019-04-04,7566.625,7594.25,7546,193,0.7020279620246201952117532246,2019
0.1,true,NQZ9,prior_rth,true,d47b6816a96409541218,R01,2019-10-29,8115.625,8122.5,8097.5,100,0.7003488808817003876832483121,2019
