population,anchor,volume,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,R02,extreme,15,C01_NEUTRAL,46,44,52.17,47.73,4.44,2/4,False,False,16.67,33.33,63.16,77.78
NONPOC,R02,extreme,15,C02_ACTIVITY_MATCHED,46,41,52.17,46.34,5.83,2/4,False,False,16.67,33.33,63.16,77.78
NONPOC,R02,extreme,30,C01_NEUTRAL,45,43,53.33,51.16,2.17,2/4,False,False,16.67,63.64,47.37,77.78
NONPOC,R02,extreme,30,C02_ACTIVITY_MATCHED,45,40,53.33,60.00,-6.67,3/4,True,False,16.67,63.64,47.37,77.78
NONPOC,R02,extreme,60,C01_NEUTRAL,43,42,51.16,59.52,-8.36,3/4,True,False,33.33,40.00,55.56,66.67
NONPOC,R02,extreme,60,C02_ACTIVITY_MATCHED,43,39,51.16,56.41,-5.25,2/4,False,False,33.33,40.00,55.56,66.67
NONPOC,R03,extreme,15,C01_NEUTRAL,55,52,52.73,57.69,-4.96,3/4,True,False,54.55,50.00,54.55,52.38
NONPOC,R03,extreme,15,C02_ACTIVITY_MATCHED,55,46,52.73,56.52,-3.79,2/4,False,False,54.55,50.00,54.55,52.38
NONPOC,R03,extreme,30,C01_NEUTRAL,54,52,42.59,46.15,-3.56,3/4,True,False,45.45,25.00,45.45,50.00
NONPOC,R03,extreme,30,C02_ACTIVITY_MATCHED,54,46,42.59,50.00,-7.41,3/4,True,False,45.45,25.00,45.45,50.00
NONPOC,R03,extreme,60,C01_NEUTRAL,54,52,50.00,50.00,0.00,0/4,False,False,54.55,33.33,54.55,55.00
NONPOC,R03,extreme,60,C02_ACTIVITY_MATCHED,54,46,50.00,54.35,-4.35,3/4,True,False,54.55,33.33,54.55,55.00
NONPOC,R04,extreme,15,C01_NEUTRAL,15,15,46.67,60.00,-13.33,2/4,False,True,0.00,60.00,,44.44
NONPOC,R04,extreme,15,C02_ACTIVITY_MATCHED,15,16,46.67,50.00,-3.33,2/4,False,True,0.00,60.00,,44.44
NONPOC,R04,extreme,30,C01_NEUTRAL,15,14,53.33,57.14,-3.81,1/4,False,True,100.00,60.00,,44.44
NONPOC,R04,extreme,30,C02_ACTIVITY_MATCHED,15,16,53.33,62.50,-9.17,1/4,False,True,100.00,60.00,,44.44
NONPOC,R04,extreme,60,C01_NEUTRAL,14,14,71.43,78.57,-7.14,2/4,False,True,100.00,75.00,,66.67
NONPOC,R04,extreme,60,C02_ACTIVITY_MATCHED,14,15,71.43,60.00,11.43,2/4,False,True,100.00,75.00,,66.67
NONPOC,R05,extreme,15,C01_NEUTRAL,41,41,51.22,58.54,-7.32,2/4,False,False,0.00,57.14,63.64,50.00
NONPOC,R05,extreme,15,C02_ACTIVITY_MATCHED,41,33,51.22,33.33,17.89,3/4,True,False,0.00,57.14,63.64,50.00
NONPOC,R05,extreme,30,C01_NEUTRAL,41,41,58.54,63.41,-4.87,2/4,False,False,50.00,71.43,54.55,50.00
