population,volume,displacement,efficiency,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
POC,below_normal,0.5_1.0,low,60,C01_NEUTRAL,8,11,25.00,63.64,-38.64,2/4,False,True,50.00,0.00,25.00,0.00
POC,below_normal,0.5_1.0,low,60,C02_ACTIVITY_MATCHED,8,2,25.00,100.00,-75.00,2/4,False,True,50.00,0.00,25.00,0.00
POC,below_normal,0.5_1.0,medium,15,C01_NEUTRAL,1,1,0.00,100.00,-100.00,0/4,False,True,,,,0.00
POC,below_normal,0.5_1.0,medium,30,C01_NEUTRAL,1,1,0.00,100.00,-100.00,0/4,False,True,,,,0.00
POC,below_normal,0.5_1.0,medium,60,C01_NEUTRAL,1,1,0.00,100.00,-100.00,0/4,False,True,,,,0.00
POC,below_normal,1.0_1.5,low,15,C01_NEUTRAL,22,18,40.91,33.33,7.58,2/4,False,True,50.00,50.00,62.50,12.50
POC,below_normal,1.0_1.5,low,15,C02_ACTIVITY_MATCHED,22,16,40.91,62.50,-21.59,3/4,False,True,50.00,50.00,62.50,12.50
POC,below_normal,1.0_1.5,low,30,C01_NEUTRAL,22,18,50.00,44.44,5.56,2/4,False,True,100.00,25.00,62.50,37.50
POC,below_normal,1.0_1.5,low,30,C02_ACTIVITY_MATCHED,22,16,50.00,56.25,-6.25,2/4,False,True,100.00,25.00,62.50,37.50
POC,below_normal,1.0_1.5,low,60,C01_NEUTRAL,22,18,40.91,38.89,2.02,3/4,False,True,100.00,25.00,62.50,12.50
POC,below_normal,1.0_1.5,low,60,C02_ACTIVITY_MATCHED,22,16,40.91,56.25,-15.34,2/4,False,True,100.00,25.00,62.50,12.50
POC,below_normal,1.0_1.5,medium,15,C01_NEUTRAL,4,6,75.00,66.67,8.33,1/4,False,True,,100.00,50.00,
POC,below_normal,1.0_1.5,medium,15,C02_ACTIVITY_MATCHED,4,5,75.00,60.00,15.00,1/4,False,True,,100.00,50.00,
POC,below_normal,1.0_1.5,medium,30,C01_NEUTRAL,4,6,100.00,33.33,66.67,2/4,False,True,,100.00,100.00,
POC,below_normal,1.0_1.5,medium,30,C02_ACTIVITY_MATCHED,4,5,100.00,80.00,20.00,1/4,False,True,,100.00,100.00,
POC,below_normal,1.0_1.5,medium,60,C01_NEUTRAL,4,6,50.00,66.67,-16.67,0/4,False,True,,50.00,50.00,
POC,below_normal,1.0_1.5,medium,60,C02_ACTIVITY_MATCHED,4,5,50.00,80.00,-30.00,1/4,False,True,,50.00,50.00,
POC,below_normal,1.0_1.5,high,15,C01_NEUTRAL,1,1,100.00,100.00,0.00,0/4,False,True,,,100.00,
POC,below_normal,1.0_1.5,high,30,C01_NEUTRAL,1,1,100.00,100.00,0.00,0/4,False,True,,,100.00,
POC,below_normal,1.0_1.5,high,60,C01_NEUTRAL,1,1,100.00,100.00,0.00,0/4,False,True,,,100.00,
POC,below_normal,gt_1.5,low,15,C01_NEUTRAL,1252,1200,51.84,50.83,1.01,3/4,True,False,52.33,47.60,54.26,53.49
