relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean,median,standard_deviation,iqr,expected_sign_share,ci_low,ci_high
R02,C02,uniform_bar_volume,0.2,1.5,2023,1,-0.5666666666666666666666666667,-0.5666666666666666666666666667,,0,0,-0.5666666666666666666666666667,-0.5666666666666666666666666667
R03,C01,tpo_range_occupancy,0.05,1.5,2019,7,-0.03333333333333333333333333333,0,0.1465656217585879907881867525,0.1333333333333333333333333333,0.2857142857142857142857142857,-0.1333333333333333333333333333,0.06190476190476190476190476191
R03,C01,tpo_range_occupancy,0.05,1.5,2021,8,0.02083333333333333333333333332,0.01666666666666666666666666665,0.07332792187825949144792506669,0.05833333333333333333333333332,0.5,-0.025,0.06666666666666666666666666665
R03,C01,tpo_range_occupancy,0.05,1.5,2023,7,0.02857142857142857142857142857,0,0.09114207758701963492512260017,0.06666666666666666666666666665,0.2857142857142857142857142857,-0.02857142857142857142857142857,0.09047619047619047619047619049
R03,C01,tpo_range_occupancy,0.05,1.5,2025,8,0.05,0.01666666666666666666666666666,0.1098339294730551989462303165,0.1416666666666666666666666667,0.5,-0.02499999999999999999999999998,0.1208333333333333333333333333
R03,C01,tpo_range_occupancy,0.05,1.5,2026,3,-0.0111111111111111111111111111,-0.1333333333333333333333333333,0.2411392712690078362967741828,0.2166666666666666666666666667,0.3333333333333333333333333333,-0.1666666666666666666666666667,0.2666666666666666666666666667
R03,C01,tpo_range_occupancy,0.05,2,2025,1,-0.1,-0.1,,0,0,-0.1,-0.1
R03,C01,tpo_range_occupancy,0.1,1.5,2019,7,0.000000000000000000000000000005714285714285714285714285714,0,0.1170628194761415427600156073,0.03333333333333333333333333334,0.2857142857142857142857142857,-0.08571428571428571428571428571,0.08571428571428571428571428571
R03,C01,tpo_range_occupancy,0.1,1.5,2021,5,0.1733333333333333333333333333,0.1333333333333333333333333333,0.2880972058177586699101623665,0.1666666666666666666666666666,0.6,-0.000000000000000000000000000004,0.42
R03,C01,tpo_range_occupancy,0.1,1.5,2023,9,0.01851851851851851851851851852,0,0.08351831321318282372710516979,0.06666666666666666666666666663,0.3333333333333333333333333333,-0.02962962962962962962962962963,0.07499999999999999999999999999
