anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
R03,C02_ACTIVITY_MATCHED,0.93,0,77.57,0,11.21,2.8,6.54,0.93,0,0,0,0,107,1,0,0,3,POC,107,100,RTH_OPEN,3atr,false
R04,C02_ACTIVITY_MATCHED,0,0,94.41,0,2.48,0.62,1.86,0,0.62,0,0,0,161,1,0,0,1,POC,161,100,ALL_SESSIONS,3atr,false
R04,C02_ACTIVITY_MATCHED,0,0,80,0,20,0,0,0,0,0,0,0,5,1,0,0,1,POC,5,100,RTH_AFTERNOON,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,66.67,0,0,0,33.33,0,0,0,0,0,3,1,0,0,1,POC,3,100,RTH_MIDDAY,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,66.67,0,8.33,8.33,8.33,0,8.33,0,0,0,12,1,0,0,3,POC,12,100,RTH_MORNING,3atr,true
R04,C02_ACTIVITY_MATCHED,0,0,97.87,0,1.42,0,0.71,0,0,0,0,0,141,1,0,0,1,POC,141,100,RTH_OPEN,3atr,false
R05,C02_ACTIVITY_MATCHED,11.76,0,12.5,12.5,15.44,8.09,11.76,5.88,20.59,1.47,0,0,136,5,0,0,23,POC,136,100,ALL_SESSIONS,3atr,false
R05,C02_ACTIVITY_MATCHED,16.67,0,0,33.33,0,0,16.67,0,33.33,0,0,0,6,18,0,0,30,POC,6,100,RTH_AFTERNOON,3atr,true
R05,C02_ACTIVITY_MATCHED,17.65,0,17.65,23.53,17.65,0,11.76,0,11.76,0,0,0,17,7,0,0,23,POC,17,100,RTH_MIDDAY,3atr,true
R05,C02_ACTIVITY_MATCHED,10.62,0,12.39,9.73,15.93,9.73,11.5,7.08,21.24,1.77,0,0,113,5,0,0,22,POC,113,100,RTH_MORNING,3atr,false
ALL_ANCHORS,TREATED,6.14,4.76,45.99,8.15,9.27,5.76,4.01,2.76,9.27,3.51,2,0.25,798,2,1,0.13,50,POC,795,99.62,ALL_SESSIONS,3atr,false
ALL_ANCHORS,TREATED,9.3,38.37,5.81,17.44,2.33,2.33,3.49,0,2.33,18.6,0,0,86,76,0,0,425,POC,86,100,ETH_EVENING,3atr,false
ALL_ANCHORS,TREATED,9.09,11.36,4.55,40.91,0,0,2.27,2.27,6.82,20.45,1,2.27,44,47,0,0,115,POC,43,97.73,ETH_OVERNIGHT,3atr,false
