anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,2,1,32,32,32,32,32,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,9,9,4.6,3,2,7,8,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,31,31,9.6,3,0,9,22,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,66,66,2.8,1,0,2,5,NONPOC,RTH_OPEN,false
R01,C02_ACTIVITY_MATCHED,0,0,33,33,56.7,43,11,71,91,NONPOC,ALL_SESSIONS,false
R01,C02_ACTIVITY_MATCHED,0,0,18,18,49.7,43,11,60,80,NONPOC,ETH_EVENING,true
R01,C02_ACTIVITY_MATCHED,0,0,15,15,65.1,54,7,89,91,NONPOC,ETH_OVERNIGHT,true
R02,C02_ACTIVITY_MATCHED,0,0,15,15,17,3,1,14,38,NONPOC,ALL_SESSIONS,true
R02,C02_ACTIVITY_MATCHED,0,0,1,1,14,14,14,14,14,NONPOC,RTH_MIDDAY,true
R02,C02_ACTIVITY_MATCHED,0,0,2,2,57.5,112,3,3,3,NONPOC,RTH_MORNING,true
R02,C02_ACTIVITY_MATCHED,0,0,12,12,10.5,2,1,8,14,NONPOC,RTH_OPEN,true
R03,C02_ACTIVITY_MATCHED,0,0,42,42,2,1,0,3,5,NONPOC,ALL_SESSIONS,false
R03,C02_ACTIVITY_MATCHED,0,0,4,4,3.2,3,1,3,3,NONPOC,RTH_MIDDAY,true
R03,C02_ACTIVITY_MATCHED,0,0,5,5,3.6,2,0,6,6,NONPOC,RTH_MORNING,true
